Uke,NTE,GE,HA,AMS,SP
2018-01-07,12,9,52,8,7
2018-01-14,6,14,43,11,7
2018-01-21,10,11,42,8,5
2018-01-28,15,7,64,7,9
2018-02-04,12,5,44,6,12
2018-02-11,22,10,42,6,6
2018-02-18,14,10,35,7,4
2018-02-25,20,13,57,8,18
2018-03-04,8,5,41,10,15
2018-03-11,10,9,37,11,8
2018-03-18,9,10,36,10,5
2018-03-25,9,10,28,6,5
2018-04-01,13,7,42,6,5
2018-04-08,16,5,45,6,8
2018-04-15,11,7,33,6,7
2018-04-22,10,8,40,5,9
2018-04-29,14,10,37,6,5
2018-05-06,10,9,35,7,8
2018-05-13,16,5,40,7,6
2018-05-20,9,9,33,7,6
2018-05-27,15,8,38,5,4
2018-06-03,8,5,44,7,5
2018-06-10,9,3,33,7,4
2018-06-17,11,7,40,7,5
2018-06-24,13,6,30,8,3
2018-07-01,14,6,42,6,5
2018-07-08,6,11,32,6,6
2018-07-15,15,6,27,5,6
2018-07-22,13,8,32,4,11
2018-07-29,13,7,40,7,7
2018-08-05,16,7,100,3,8
2018-08-12,14,12,43,5,11
2018-08-19,16,11,31,6,5
2018-08-26,10,5,45,5,10
2018-09-02,12,7,38,9,12
2018-09-09,15,11,43,8,14
2018-09-16,10,12,55,7,18
2018-09-23,13,9,32,12,15
2018-09-30,16,8,33,8,11
2018-10-07,14,10,36,7,8
2018-10-14,12,13,33,9,10
2018-10-21,10,8,34,8,8
2018-10-28,21,8,35,5,7
2018-11-04,18,6,36,3,8
2018-11-11,9,11,36,8,8
2018-11-18,11,7,31,8,8
2018-11-25,15,9,37,8,10
2018-12-02,10,4,29,6,7
2018-12-09,16,12,42,4,13
2018-12-16,11,13,30,4,17
2018-12-23,3,7,18,8,5
2018-12-30,14,12,60,5,11
